dttm,value,label
2013-07-14 02:50:00,109,0
2013-07-14 03:05:00,109,0
2013-07-14 03:20:00,109,0
2013-07-14 03:35:00,109,0
2013-07-14 03:50:00,109,0
2013-07-14 04:05:00,109,0
2013-07-14 04:20:00,109,0
2013-07-14 04:35:00,109,0
2013-07-14 04:50:00,109,0
2013-07-14 05:05:00,109,0
2013-07-14 05:20:00,109,0
2013-07-14 05:35:00,109,0
2013-07-14 05:50:00,109,0
2013-07-14 06:05:00,109.3333333,0
2013-07-14 06:20:00,109,0
2013-07-14 06:35:00,109,0
2013-07-14 06:50:00,111.8,0
2013-07-14 07:05:00,127.0666667,0
2013-07-14 07:20:00,131.7333333,0
2013-07-14 07:35:00,133.1333333,0
2013-07-14 07:50:00,133.8,0
2013-07-14 08:05:00,136.2,0
2013-07-14 08:20:00,136.2,0
2013-07-14 08:35:00,136,0
2013-07-14 08:50:00,137.8666667,0
2013-07-14 09:05:00,132.9333333,0
2013-07-14 09:20:00,125.9333333,0
2013-07-14 09:35:00,116.4,0
2013-07-14 09:50:00,79.26666667,0
2013-07-14 10:05:00,76.13333333,0
2013-07-14 10:20:00,77.2,0
2013-07-14 10:35:00,77.26666667,0
2013-07-14 10:50:00,78.13333333,0
2013-07-14 11:05:00,78.13333333,0
2013-07-14 11:20:00,78.13333333,0
2013-07-14 11:35:00,78.93333333,0
2013-07-14 11:50:00,79.2,0
2013-07-14 12:05:00,79.2,0
2013-07-14 12:20:00,80.8,0
2013-07-14 12:35:00,81.06666667,0
2013-07-14 12:50:00,81.73333333,0
2013-07-14 13:05:00,82.13333333,0
2013-07-14 13:20:00,82.26666667,0
2013-07-14 13:35:00,82.06666667,0
2013-07-14 13:50:00,82,0
2013-07-14 14:05:00,83.53333333,0
2013-07-14 14:20:00,86.13333333,0
2013-07-14 14:35:00,87.13333333,0
2013-07-14 14:50:00,86.93333333,0
2013-07-14 15:05:00,84.2,0
2013-07-14 15:20:00,83.66666667,0
2013-07-14 15:35:00,85.13333333,0
2013-07-14 15:50:00,88.4,0
2013-07-14 16:05:00,88,0
2013-07-14 16:20:00,88.26666667,0
2013-07-14 16:35:00,88.2,0
2013-07-14 16:50:00,89.8,0
2013-07-14 17:05:00,90.26666667,0
2013-07-14 17:20:00,91.2,0
2013-07-14 17:35:00,93,0
